ea01id;ea01dtemis;ea01dtentrega;ea01vlr10
15973649;26/01/2023;10/02/2023;222.3766234
15973388;26/01/2023;10/02/2023;309.8878788
15973204;26/01/2023;10/02/2023;125.7125541
15975332;27/01/2023;16/02/2023;139.2792208
15975308;27/01/2023;11/02/2023;297.1679654
15975125;27/01/2023;11/02/2023;162.0454545
15975154;27/01/2023;11/02/2023;162.0454545
15975290;27/01/2023;11/02/2023;241.9636364
15975183;27/01/2023;11/02/2023;162.0454545
15975372;27/01/2023;11/02/2023;257.4160173
15975353;27/01/2023;11/02/2023;170.2813853
15975401;27/01/2023;10/02/2023;83.78181818
15983416;30/01/2023;14/02/2023;111.8675325
15981005;30/01/2023;14/02/2023;125.6753247
15981213;30/01/2023;14/02/2023;308.6878788
15981314;30/01/2023;14/02/2023;145.1458874
15982155;30/01/2023;13/02/2023;309.8519481
15983354;30/01/2023;10/02/2023;77.14632035
15983055;30/01/2023;10/02/2023;90.10649351
15981148;30/01/2023;14/02/2023;68.46450216
15981303;30/01/2023;14/02/2023;223.0064935
15981180;30/01/2023;14/02/2023;173.6008658
15981230;30/01/2023;14/02/2023;161.5731602
15981277;30/01/2023;14/02/2023;65.49264069
15983102;30/01/2023;11/02/2023;162.0454545
15982321;30/01/2023;13/02/2023;50.24805195
15983336;30/01/2023;10/02/2023;72.23939394
15983386;30/01/2023;14/02/2023;74.63722944
15981065;30/01/2023;14/02/2023;106.0792208
15983318;30/01/2023;14/02/2023;93.58354978
15981290;30/01/2023;14/02/2023;145.2121212
15981105;30/01/2023;14/02/2023;297.3134199
15981205;30/01/2023;14/02/2023;197.5506494
15983090;30/01/2023;14/02/2023;40.48441558
15983368;30/01/2023;10/02/2023;72.23939394
15983399;30/01/2023;14/02/2023;137.6878788
15981251;30/01/2023;14/02/2023;249.2883117
15984542;31/01/2023;15/02/2023;577.1268398
15989853;01/02/2023;16/02/2023;88.23463203
15989593;01/02/2023;16/02/2023;148.391342
15989674;01/02/2023;16/02/2023;241.4822511
15989789;01/02/2023;16/02/2023;357.6367965
15989765;01/02/2023;16/02/2023;131.8753247
15989646;01/02/2023;16/02/2023;238.2584416
15989529;01/02/2023;16/02/2023;82.08398268
15989516;01/02/2023;16/02/2023;75.48874459
15989706;01/02/2023;16/02/2023;72.24588745
15989616;01/02/2023;16/02/2023;239.2961039
15989735;01/02/2023;10/02/2023;52.81558442
15990006;01/02/2023;08/02/2023;45.93593074
15989545;01/02/2023;16/02/2023;71
15989724;01/02/2023;16/02/2023;28.68268398
15989751;01/02/2023;10/02/2023;44.5961039
15989560;01/02/2023;16/02/2023;256.704329
15992448;02/02/2023;17/02/2023;118.7532468
15992343;02/02/2023;17/02/2023;72.23939394
15992362;02/02/2023;17/02/2023;72.23939394
15992323;02/02/2023;17/02/2023;67.83160173
15992381;02/02/2023;17/02/2023;284.7831169
15992094;02/02/2023;17/02/2023;75.39004329
15994022;02/02/2023;06/02/2023;15.11082251
15992248;02/02/2023;17/02/2023;219.0896104
15992152;02/02/2023;17/02/2023;116.2761905
15992109;02/02/2023;17/02/2023;137.1359307
15992205;02/02/2023;17/02/2023;133.8675325
15992405;02/02/2023;03/02/2023;238.5108225
16003684;06/02/2023;21/02/2023;288.9632035
16003515;06/02/2023;21/02/2023;80.75541126
16003572;06/02/2023;21/02/2023;218.578355
16004467;06/02/2023;06/02/2023;3936.668398
16003639;06/02/2023;21/02/2023;78.24978355
16003590;06/02/2023;21/02/2023;80.27965368
16003535;06/02/2023;21/02/2023;71.83636364
16003756;06/02/2023;21/02/2023;252.3987013
16003658;06/02/2023;21/02/2023;142.7640693
16003624;06/02/2023;21/02/2023;81.44069264
16003701;06/02/2023;21/02/2023;75.55194805
16003716;06/02/2023;21/02/2023;51.04848485
16003747;06/02/2023;21/02/2023;111.0367965
16003731;06/02/2023;21/02/2023;62.35757576
16003606;06/02/2023;21/02/2023;180.061039
16007745;07/02/2023;21/02/2023;63.17532468
16007755;07/02/2023;21/02/2023;219.1948052
16007769;07/02/2023;21/02/2023;44.32207792
16009022;08/02/2023;23/02/2023;162.0584416
16009132;08/02/2023;23/02/2023;140.0225108
16008927;08/02/2023;23/02/2023;1306.906061
16008945;08/02/2023;23/02/2023;145.7021645
16009044;08/02/2023;23/02/2023;276.1051948
16009099;08/02/2023;23/02/2023;59.21385281
16009789;08/02/2023;17/02/2023;292.7437229
16008976;08/02/2023;23/02/2023;70.18181818
16009114;08/02/2023;23/02/2023;72.23939394
16009154;08/02/2023;23/02/2023;122.3662338
16009077;08/02/2023;23/02/2023;140.2714286
16013767;09/02/2023;24/02/2023;825.7922078
16013745;09/02/2023;24/02/2023;90.25887446
16014170;09/02/2023;24/02/2023;108.6298701
16014117;09/02/2023;23/02/2023;80.91125541
16014148;09/02/2023;24/02/2023;151.1337662
16014613;09/02/2023;22/02/2023;335.8701299
16016298;09/02/2023;16/02/2023;330.2510823
16014129;09/02/2023;24/02/2023;98.97272727
